NFCSID,A1,A2,A3,Own Stocks,B2_2,Own Mutual Funds,Own ETFs,Own Annuities,B2_7,B2_20,Own REITs,B2_23,B2_24,Own Private Placements,B30,B31,B3,B32,B4,B5,B6,B20,B33,B34,Risk Tolerance,Stock Share of Portfolio,B35,B23,Crypto Risk Perception,B25,B26,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,Emergency Confidence,C26,C30,C7,D1_1,D1_2,D2,D3,D21,D30,D31,E1_1,E20,E5,E6,Financial Advisors,Friends Family,Online Articles,Financial TV,Podcasts,Social Media,Government Websites,Company Publications,Financial Newsletters,Employer Resources,Influencers,Other Info Sources,Use Brokerage Apps,Use Robo Advisors,Use Banking Apps,Use Social Platforms,Use Spreadsheets,Use Forums,Use Investment Clubs,Use Financial News Apps,Use Podcasts,Use YouTube,Use Other Tools,Investing Confidence,Financial Comfort,Stay Calm During Downturns,Avoid Panic Selling,Monitor Investments Regularly,Diversify Portfolio,Save Consistently,Long-Term Focus,G31,G4,G5,G6,G7,G21,G8,G22,G11,G12,G13,G23,Estate Planning,WGT1,Gender,Age Group,Ethnicity,Education,Annual Income,Emergency Confidence_score,Investing Confidence_score,Financial Comfort_score,Stay Calm During Downturns_score,Avoid Panic Selling_score,Monitor Investments Regularly_score,Diversify Portfolio_score,Save Consistently_score,Long-Term Focus_score,Own Stocks_score,Own Mutual Funds_score,Own ETFs_score,Own Annuities_score,Own REITs_score,Own Private Placements_score,Risk Tolerance_score,Stock Share of Portfolio_score,Crypto Risk Perception_score,Financial Advisors_score,Friends Family_score,Online Articles_score,Financial TV_score,Podcasts_score,Social Media_score,Government Websites_score,Company Publications_score,Financial Newsletters_score,Employer Resources_score,Influencers_score,Other Info Sources_score,Use Brokerage Apps_score,Use Robo Advisors_score,Use Banking Apps_score,Use Social Platforms_score,Use Spreadsheets_score,Use Forums_score,Use Investment Clubs_score,Use Financial News Apps_score,Use Podcasts_score,Use YouTube_score,Use Other Tools_score,Estate Planning_score,Total_Score,FinLit_Level
2021010109,Primary decision-maker,Yes,Yes,1,Yes,1,98,1,Don't know,No,2,No,Don't know,2,10 years ago or more,2018 or earlier,None,No,"$1,000,000 or more",Don't know,No Response Given,No Response Given,Don't know,No Response Given,3,2,No,Yes,5.0,No,No,Never,Never,Never,Never,No,Don't know,Don't know,Yes,Don't know,No Response Given,Don't know,No,No,7,7,Don't know,Don't know,Neither,Neither,2,7,Yes,Both,Paper documents by mail,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,5,1,3,1,1,1,1,1 - Not at all important,You own a part of the company,You have lent money to the company,Bonds,True,True,Don't know,Don't know,Municipal bonds can be tax-free,$0,Selling borrowed shares,-$10,2,0.870537201388863,1,3,1,1,1,No Response Given,2,3,1,5,1,1,1,1,3,3,0,3,1,1,3,3,5.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,50.0,Below Average
2021010110,Primary decision-maker,Yes,Yes,2,No,1,2,2,No,Yes,2,No,No,2,10 years ago or more,Don't know,None,No,"$50,000 to < $100,000",No,No Response Given,No Response Given,Don't know,No Response Given,2,1,No,No,No Response Given,No Response Given,No Response Given,Never,Sometimes,Never,Never,No,No,No,No,< 0.5%,10.0,No,No,No,10 - Extremely confident,8,5% to 9.9%,Better than the market,Buy stocks or stock funds,Neither,1 - Strongly disagree,6,Yes,Protecting investors,Paper documents by mail,3,3,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,10,6,1,3,1,1,1,1,1 - Not at all important,You own a part of the company,Don't know,Preferred stock,True,False,Stocks,Lower fees and expenses,Don't know,Don't know,Don't know,Don't know,1,0.547489916262363,1,3,1,2,3,5.0,5,4,1,5,1,1,1,1,1,3,1,1,1,1,4,5,No Response Given,2,2,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,60.0,Average
2021010115,Primary decision-maker,Yes,Yes,2,No,1,1,2,No,No,2,No,No,2,10 years ago or more,2018 or earlier,11 times or more,No,"$1,000,000 or more",Yes,Yes,No,No,No Response Given,3,1,No,Yes,5.0,No,No,Never,Never,Frequently,Sometimes,No,No,Yes,No,1% to < 2%,9.0,No,No,No,8,7,5% to 9.9%,About the same as the market,Buy stocks or stock funds,Buy stocks or stock funds,2,8,Yes,Both,Electronic by email,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,9,6,2,2,1,1,1,2,1 - Not at all important,You own a part of the company,You have lent money to the company,Common stock,True,False,Stocks,Generally less risky in the short term,Municipal bonds can be tax-free,$0,Selling borrowed shares,$0,2,0.547489916262363,1,3,1,2,3,4.0,4,4,3,3,1,1,1,3,1,3,3,1,1,1,3,5,5.0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,60.0,Average
2021010144,Primary decision-maker,Yes,Yes,1,Yes,1,2,1,No,Yes,2,No,No,2,10 years ago or more,2018 or earlier,4 to 10 times,Yes,"$10,000 to < $25,000",Yes,Yes,Yes,Yes,Yes,3,1,No,Yes,4.0,No,No,Frequently,Frequently,Frequently,Frequently,Yes,Yes,Yes,Yes,2% to < 4%,10.0,Yes,Yes,Yes,9,8,5% to 9.9%,Better than the market,Buy stocks or stock funds,Buy stocks or stock funds,7 - Strongly agree,8,Yes,Protecting institutions,Paper documents by mail,3,3,3,2,3,2,2,3,3,3,3,3,1,1,2,2,1,2,2,2,2,2,2,9,7,3,3,3,2,3,3,9,You are liable for the company's debts,You own a part of the company,Preferred stock,True,True,CDs,Generally less risky in the short term,Greater demand for municipal bonds,$250,Selling shares shortly after buying,$10,1,0.903030607790991,1,2,1,2,2,5.0,4,5,5,5,5,3,5,5,3,3,1,3,1,1,3,5,4.0,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,103.0,Perfect
2021010149,Share decision-making,Yes,Yes,2,No,1,2,1,No,No,2,No,No,2,5 to <10 years ago,2018 or earlier,None,No,"$25,000 to < $50,000",No,No Response Given,No Response Given,No,No Response Given,4,2,No,No,No Response Given,No Response Given,No Response Given,Frequently,Never,Never,Never,Yes,No,No,Yes,0.5% to < 1%,7.0,No,No,No,8,8,10% to 14.9%,About the same as the market,Don't know,Neither,3,8,Don't know,Both,Paper documents by mail,3,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,4,98,3,1,1,1,2,6,You own a part of the company,You have lent money to the company,Common stock,True,True,Stocks,Don't know,Don't know,Don't know,Don't know,Don't know,1,0.870537201388863,1,3,1,1,1,3.0,2,2,0,5,1,1,1,3,1,3,1,3,1,1,1,3,No Response Given,2,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,51.0,Below Average
2021010153,Primary decision-maker,No,Yes,1,No,2,2,2,No,Yes,2,No,Yes,2,1 to <2 years ago,2021,1 to 3 times,No,"$2,000 to < $5,000",No,No Response Given,No Response Given,No,No Response Given,3,3,No,Yes,98.0,No,No,Never,Never,Sometimes,Never,No,No,No,No,Do not pay any fees,10.0,No,No,No,10 - Extremely confident,1 - Not at all confident,5% to 9.9%,Better than the market,Neither,Sell stocks or stock funds,1 - Strongly disagree,10 - Extremely confident,Yes,Both,Paper documents by mail,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,5,2,3,2,1,1,1,3,You have lent money to the company,You have lent money to the company,Common stock,True,True,Stocks,Lower fees and expenses,Municipal bonds are lower risk,$500,Selling before peak,Don't know,1,0.547489916262363,1,3,1,2,3,5.0,5,3,3,5,3,1,1,1,3,1,1,1,1,1,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,53.0,Below Average
2021010154,Primary decision-maker,No,Yes,1,Yes,1,1,2,No,Yes,2,No,No,2,5 to <10 years ago,2018 or earlier,4 to 10 times,No,"$500,000 to < $1,000,000",Don't know,No Response Given,No Response Given,Don't know,No Response Given,3,1,No,Yes,5.0,No,No,Frequently,Never,Never,Never,No,Yes,Yes,No,< 0.5%,8.0,Yes,Don't know,No,7,6,Don't know,About the same as the market,Neither,Neither,2,7,Yes,Both,Electronic by email,3,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,5,1,3,1,2,2,2,6,You own a part of the company,You have lent money to the company,Common stock,True,False,Stocks,Generally less risky in the short term,Municipal bonds can be tax-free,$0,Selling before peak,Don't know,1,0.547489916262363,1,3,1,2,2,4.0,4,3,1,5,1,3,3,3,3,3,3,1,1,1,3,5,5.0,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,70.0,Average
2021010156,Primary decision-maker,Yes,Yes,1,No,1,2,2,No,Yes,1,Yes,No,2,10 years ago or more,2018 or earlier,1 to 3 times,Yes,"$100,000 to < $250,000",Don't know,No Response Given,No Response Given,Don't know,No Response Given,2,1,No,Yes,5.0,No,Don't know,Frequently,Sometimes,Never,Never,No,Yes,Yes,No,0.5% to < 1%,10.0,Yes,No,No,8,5,0% to 4.9%,About the same as the market,Buy stocks or stock funds,Sell stocks or stock funds,5,5,Don't know,Both,Electronic by email,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,7,5,3,3,2,1,2,2,5,You own a part of the company,You have lent money to the company,Common stock,True,False,Stocks,Generally less risky in the short term,Municipal bonds can be tax-free,$0,Selling borrowed shares,-$10,1,0.547489916262363,1,3,1,2,2,5.0,3,3,5,5,3,1,3,3,3,3,1,1,3,1,4,5,5.0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,78.0,Average
2021010159,Primary decision-maker,Yes,Yes,1,Yes,1,1,1,No,No,2,No,No,2,10 years ago or more,2018 or earlier,4 to 10 times,No,"$1,000,000 or more",Don't know,No Response Given,No Response Given,Don't know,No Response Given,3,1,No,Yes,3.0,Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,No,Yes,Yes,Yes,< 0.5%,3.0,No,No,No,6,6,5% to 9.9%,About the same as the market,Neither,Neither,2,5,Don't know,Protecting investors,Documents accessed on the Internet,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,5,2,3,1,1,1,1,1 - Not at all important,You own a part of the company,You have lent money to the company,Common stock,True,True,Stocks,Generally less risky in the short term,Municipal bonds can be tax-free,$0,Don't know,$0,1,0.547489916262363,1,3,1,2,3,1.0,3,3,3,5,1,1,1,1,3,3,3,3,1,1,3,5,3.0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,61.0,Average
2021010160,Primary decision-maker,Yes,Yes,2,No,1,98,2,No,No,2,No,No,2,10 years ago or more,2018 or earlier,None,No,"$50,000 to < $100,000",Yes,No,No Response Given,Yes,No,2,1,No,Yes,4.0,No,No,Never,Never,Sometimes,Sometimes,No,No,Yes,No,< 0.5%,10.0,No,No,No,9,6,5% to 9.9%,About the same as the market,Buy stocks or stock funds,Neither,1 - Strongly disagree,4,Yes,Both,Electronic by email,1,2,1,2,1,1,1,1,3,1,1,1,2,1,2,2,2,2,2,2,2,2,2,8,6,1,3,1,1,1,1,1 - Not at all important,You own a part of the company,You have lent money to the company,Bonds,True,False,Stocks,Lower fees and expenses,Municipal bonds can be tax-free,$0,Selling borrowed shares,$0,1,0.903030607790991,1,2,1,2,3,5.0,4,4,1,5,1,1,1,1,1,3,0,1,1,1,4,5,4.0,0,1,0,1,0,0,0,0,2,0,0,0,1,2,1,1,1,1,1,1,1,1,1,2,61.0,Average
2021010162,Share decision-making,Yes,Yes,1,Yes,1,1,2,Yes,No,2,No,No,2,10 years ago or more,2018 or earlier,1 to 3 times,No,"$500,000 to < $1,000,000",Yes,Prefer not to say,No Response Given,Yes,No,2,2,No,Yes,4.0,No,No,Never,Never,Frequently,Frequently,No,No,No,No,Do not pay any fees,10.0,Yes,No,No,10 - Extremely confident,6,10% to 14.9%,About the same as the market,Don't know,Don't know,4 - Neither agree nor disagree,5,Yes,Both,Documents accessed on the Internet,2,3,99,2,1,1,2,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,8,6,1,3,1,99,1,2,3,You own a part of the company,You can vote on shareholder resolutions,Common stock,Prefer not to say,True,Don't know,Generally less likely to decline in value,Municipal bonds are lower risk,$0,Selling at a loss,Prefer not to say,1,0.547489916262363,2,3,1,2,3,5.0,4,4,1,5,1,0,1,3,3,3,3,1,1,1,4,3,4.0,1,2,0,1,0,0,1,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,68.0,Average
2021010164,Share decision-making,Yes,Yes,1,Yes,1,2,2,No,No,98,No,No,2,10 years ago or more,2018 or earlier,11 times or more,No,"$50,000 to < $100,000",Yes,No,No Response Given,Yes,No,2,1,No,No,No Response Given,No Response Given,No Response Given,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Yes,Yes,Yes,< 0.5%,9.0,Yes,Yes,Yes,9,9,5% to 9.9%,About the same as the market,Buy stocks or stock funds,Neither,6,9,Yes,Protecting investors,Paper documents by mail,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,7,1,3,1,3,3,3,6,You own a part of the company,You have lent money to the company,Common stock,True,False,Stocks,Lower fees and expenses,Municipal bonds can be tax-free,$250,Selling borrowed shares,$10,1,0.903030607790991,1,2,1,2,3,4.0,4,5,1,5,1,5,5,5,3,3,1,1,0,1,4,5,No Response Given,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,78.0,Average
2021010165,Primary decision-maker,Yes,Yes,1,No,1,2,1,No,No,2,No,No,98,10 years ago or more,Don't know,None,No,"$1,000,000 or more",No,No Response Given,No Response Given,No,No Response Given,3,1,No,No,No Response Given,No Response Given,No Response Given,Sometimes,Sometimes,Never,Never,No,Yes,Yes,No,1% to < 2%,10.0,Yes,No,Yes,5,3,5% to 9.9%,Better than the market,Neither,Neither,3,1 - Not at all confident,No,Protecting institutions,Paper documents by mail,3,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,5,1,3,2,1,1,2,1 - Not at all important,You own a part of the company,You own a part of the company,Common stock,False,Don't know,Stocks,Lower fees and expenses,Municipal bonds can be tax-free,$250,Selling borrowed shares,-$10,1,0.547489916262363,2,3,1,2,3,5.0,2,3,1,5,3,1,1,3,3,3,1,3,1,0,3,5,No Response Given,2,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,64.0,Average
2021010167,Primary decision-maker,No,Yes,1,No,1,2,2,No,No,2,No,No,2,10 years ago or more,2018 or earlier,1 to 3 times,No,"$1,000,000 or more",Yes,No,No Response Given,Don't know,No Response Given,2,1,No,No,No Response Given,No Response Given,No Response Given,Never,Never,Frequently,Never,No,No,No,No,Do not pay any fees,10.0,No,No,Yes,Don't know,5,20% or more,Better than the market,Neither,Neither,2,7,Yes,Both,Electronic by email,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,8,6,1,3,1,98,1,1,1 - Not at all important,You own a part of the company,You have lent money to the company,Common stock,True,True,Stocks,Generally less likely to decline in value,Municipal bonds can be tax-free,$250,Selling borrowed shares,Don't know,1,0.870537201388863,1,3,1,1,3,5.0,4,4,1,5,1,0,1,1,3,3,1,1,1,1,4,5,No Response Given,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,54.0,Average
