NFCSID,A1,Retirement_Account,Contribute_Retirement,Own_Stocks,B2_2,Own_MutualFunds,Own_ETFs,Own_Annuities,B2_7,B2_20,Own_REITs,B2_22,B2_23,B2_24,B2_25,B3,B4,B5,B6,B20,B21,Risk_Tolerance,B11,B23,B24,B25,B26,C20_1,C20_2,C20_3,C20_4,C20_5,Advisor_Approval,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,Fee_Confidence,C26,C7,Market_Confidence_LongTerm,Market_Fairness_Confidence,D2,Market_Performance,D20,D21,D4,E1_1,E20,E5,E6,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2_1,F2_2,F2_5,F2_6,F2_20,F2_21,F2_22,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F4,F5,F20,Investing_Comfort,Financial_Comfort,G20,Stock_Ownership_Knowledge,G5,Stock_vs_Bond_Knowledge,Financial_Knowledge_TrueFalse,G21,Risk_Perception_Knowledge,G22,G11,G12,G13,H2,H3,WGT1,Gender,Age Group,Ethnicity,Education,Annual Income,Investing_Comfort_score,Financial_Comfort_score,Market_Confidence_LongTerm_score,Market_Fairness_Confidence_score,Fee_Confidence_score,Own_Stocks_score,Own_MutualFunds_score,Own_ETFs_score,Own_Annuities_score,Own_REITs_score,Retirement_Account_score,Contribute_Retirement_score,Risk_Tolerance_score,Market_Performance_score,Advisor_Approval_score,Stock_Ownership_Knowledge_score,Stock_vs_Bond_Knowledge_score,Financial_Knowledge_TrueFalse_score,Risk_Perception_Knowledge_score,Total_Score,FinLit_Level
2018010108,Primary decision-maker,2,1,1,No,2,2,2,No,No,2,No,No,Yes,No,1 to 3 times,"$2,000 to < $5,000",Don't know,No Response Given,No Response Given,No,98,Don't know,Yes,Extremely risky,No,No,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Sometimes,Never,No,Yes,No,No,Don't know,No Response Given,No,No,98,98,Don't know,98,Neither,Don't know,6,Don't know,Don't know,Don't know,Paper mail,Don't know,Don't know,Don't know,Don't know,Yes,Don't know,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,Yes,No Response Given,3,2,5,1,Lent money to the company,2,1,False,1,Don't know,Lower risk,Don't know,Sell before peak,No,Yes,0.910655279,1,3,1,1,1,3,2,0,0,No Response Given,3,1,1,1,1,1,3,0,0,No Response Given,2,2,2,2,24.0,Low
2018010120,Primary decision-maker,1,1,1,Yes,1,1,2,No,No,2,No,No,No,No,Don't know,"$50,000 to < $100,000",Don't know,No Response Given,No Response Given,No,3,More than half,Yes,Very risky,No,No,Frequently,Sometimes,Sometimes,Never,Never,2.0,Never,Sometimes,Never,Never,No,No,No,Yes,0.5% to < 1%,10.0,No,No,10,98,5% to 9.9%,2,Don't know,Buy,1 - Strongly disagree,Don't know,Yes,Both,Email delivery,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No Response Given,No Response Given,No Response Given,9,6,5,1,Lent money to the company,2,1,True,1,Less risky short term,Don't know,$500,Sell borrowed shares,Yes,No,0.609443224,2,3,1,2,2,9,6,10,0,10.0,3,3,3,1,1,3,3,2,3,3.0,2,2,2,2,68.0,Average
2018010122,Share decision-making,1,1,2,No,1,2,2,No,No,2,No,No,No,No,4 to 10 times,"$100,000 to < $250,000",Yes,Yes,No,No,2,Less than half,Yes,Extremely risky,No,Don't know,Sometimes,Frequently,Frequently,Sometimes,Never,1.0,Sometimes,Sometimes,Sometimes,Never,No,No,Yes,No,Don't know,No Response Given,Yes,Yes,1,1,20% or more,3,Neither,Don't know,4 - Neither agree nor disagree,5,Yes,Both,In-person meeting,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No Response Given,Yes,No Response Given,10,4,7 - Strongly agree,1,Don't know,1,1,True,4,Lower fees/expenses,Can be tax-free,$500,Sell before peak,Yes,Yes,0.874876747,2,2,1,2,2,10,4,1,1,No Response Given,1,3,1,1,1,3,3,4,5,5.0,2,0,2,0,47.0,Below Average
2018010127,Primary decision-maker,2,1,1,Yes,2,2,2,No,No,2,No,No,No,No,Don't know,"$500,000 to < $1,000,000",No,No Response Given,No Response Given,No,4,Less than half,Yes,Extremely risky,No,No,Frequently,Never,Never,Never,Never,1.0,Sometimes,Sometimes,Never,Never,Don't know,Don't know,No,No,Don't know,No Response Given,Yes,No,98,3,Don't know,98,Neither,Neither,2,Don't know,Don't know,Protecting investors,Access on Internet,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Response Given,No,No Response Given,99,4,Prefer not to say,99,Prefer not to say,98,1,True,98,Don't know,Can be tax-free,Don't know,Don't know,No,Yes,0.910655279,1,3,1,1,1,0,4,0,3,No Response Given,3,1,1,1,1,1,3,1,0,5.0,0,0,2,0,26.0,Low
2018010139,Primary decision-maker,1,1,1,No,2,2,2,No,Yes,2,No,No,No,No,None,"$5,000 to < $10,000",Yes,Yes,No,No,3,Less than half,Yes,Extremely risky,No,No,Never,Never,Frequently,Sometimes,Never,No Response Given,Never,Never,Frequently,Never,No,Yes,No,No,Do not pay any fees,10.0,No,No,8,8,0% to 4.9%,3,Neither,Buy,2,8,Yes,Both,Email delivery,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,8,6,6,1,Lent money to the company,2,1,False,98,Don't know,Can be tax-free,$0,Sell borrowed shares,No,Yes,0.910655279,1,3,1,1,3,8,6,8,8,10.0,3,1,1,1,1,3,3,2,5,No Response Given,2,2,2,0,66.0,Average
2018010151,Primary decision-maker,1,1,1,Yes,2,2,2,No,No,2,No,No,No,No,4 to 10 times,"$25,000 to < $50,000",No,No Response Given,No Response Given,No,3,Less than half,Yes,Slightly risky,No,Yes,Never,Sometimes,Sometimes,Frequently,Frequently,No Response Given,Sometimes,Sometimes,Sometimes,Never,No,Yes,No,No,0.5% to < 1%,8.0,No,No,6,4,5% to 9.9%,2,Neither,Sell,6,7,No,Protecting investors,Paper mail,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No Response Given,Yes,Yes,8,6,7 - Strongly agree,2,Own a part of the company,2,1,True,5,Less risky short term,Greater demand,$250,Sell before peak,Yes,Yes,0.874876747,1,2,2,2,3,8,6,6,4,8.0,3,1,1,1,1,3,3,2,3,No Response Given,0,2,2,0,54.0,Average
2018010153,Primary decision-maker,1,1,1,Yes,1,2,2,No,Yes,2,No,No,No,No,4 to 10 times,"$100,000 to < $250,000",Yes,Yes,No,Yes,3,More than half,Yes,Moderately risky,No,Yes,Never,Frequently,Frequently,Never,Never,No Response Given,Sometimes,Sometimes,Frequently,Frequently,No,No,No,No,Do not pay any fees,6.0,Yes,Yes,8,8,10% to 14.9%,3,Neither,Neither,1 - Strongly disagree,8,Don't know,Both,In-person meeting,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No Response Given,Yes,No Response Given,10,5,7 - Strongly agree,1,Own a part of the company,1,98,True,1,Don't know,Don't know,$250,Sell at a loss,Yes,Yes,2.714459446,1,1,1,1,1,10,5,8,8,6.0,3,3,1,1,1,3,3,2,5,No Response Given,2,0,0,2,63.0,Average
2018010163,Share decision-making,1,1,1,No,2,2,2,No,No,2,No,No,No,No,1 to 3 times,"$10,000 to < $25,000",Don't know,No Response Given,No Response Given,No,3,More than half,Yes,Extremely risky,No,No,Sometimes,Sometimes,Sometimes,Never,Never,1.0,Never,Never,Sometimes,Never,No,Yes,No,Don't know,Don't know,No Response Given,No,No,7,5,5% to 9.9%,2,Neither,Neither,1 - Strongly disagree,6,Yes,Protecting institutions,Email delivery,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,No,No Response Given,5,2,5,1,Don't know,2,1,Don't know,98,Lower fees/expenses,Don't know,Don't know,Don't know,Yes,Yes,0.910655279,2,3,1,1,2,5,2,7,5,No Response Given,3,1,1,1,1,3,3,2,3,5.0,2,2,2,0,48.0,Below Average
2018010164,Primary decision-maker,1,1,2,Yes,1,2,1,No,No,1,No,No,No,No,1 to 3 times,"$100,000 to < $250,000",Don't know,No Response Given,No Response Given,Don't know,3,More than half,Yes,Moderately risky,No,No,Sometimes,Frequently,Frequently,Never,Never,1.0,Frequently,Frequently,Never,Never,No,Yes,Yes,No,0.5% to < 1%,7.0,No,Yes,5,5,5% to 9.9%,2,Neither,Neither,3,5,No,Neither,Paper mail,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No Response Given,Yes,No Response Given,8,5,6,2,Lent money to the company,98,1,False,1,Lower fees/expenses,Lower risk,$250,Sell borrowed shares,Yes,Yes,0.874876747,1,2,1,2,2,8,5,5,5,7.0,1,3,1,2,3,3,3,2,3,5.0,0,0,2,2,60.0,Average
2018010171,Primary decision-maker,1,1,1,No,2,2,2,No,No,2,No,No,No,No,None,"$250,000 to < $500,000",Yes,No,No Response Given,No,3,More than half,Yes,Extremely risky,No,No,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Frequently,Frequently,Don't know,Yes,Don't know,No,Less than 0.5%,9.0,No,No,6,4,5% to 9.9%,2,Neither,Don't know,4 - Neither agree nor disagree,4,Yes,Both,Don't know,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Response Given,Yes,No Response Given,5,3,3,1,Lent money to the company,98,1,False,1,Less risky short term,Can be tax-free,$0,Sell borrowed shares,Yes,Yes,0.874876747,1,2,1,2,3,5,3,6,4,9.0,3,1,1,1,1,3,3,2,3,No Response Given,2,0,2,2,51.0,Average
2018010176,Primary decision-maker,1,1,1,No,2,1,1,No,Yes,2,No,No,No,No,4 to 10 times,"$100,000 to < $250,000",Yes,No,No Response Given,No,2,More than half,Yes,Extremely risky,No,No,Sometimes,Sometimes,Sometimes,Never,Never,1.0,Sometimes,Sometimes,Sometimes,Never,No,Yes,Yes,Yes,0.5% to < 1%,10.0,No,Yes,8,4,15% to 19.9%,3,Bought,Buy,4 - Neither agree nor disagree,8,Yes,Both,Paper mail,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,8,7,7 - Strongly agree,1,Own a part of the company,2,1,False,1,Less likely to decline,Lower risk,$0,Sell at a loss,Yes,Yes,0.609443224,1,3,1,2,1,8,7,8,4,10.0,3,1,3,2,1,3,3,4,5,5.0,2,2,2,2,75.0,High
2018010186,Primary decision-maker,2,1,1,No,2,2,2,No,No,2,No,No,No,No,4 to 10 times,"$2,000 to < $5,000",No,No Response Given,No Response Given,No,3,More than half,Yes,Don't know,No,No,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Frequently,Never,No,Yes,No,No,Less than 0.5%,5.0,No,No,98,98,Don't know,2,Neither,Buy,3,5,Don't know,Protecting investors,Access on Internet,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,6,3,6,1,Don't know,98,1,True,98,Don't know,Don't know,Don't know,Sell borrowed shares,Yes,Yes,0.910655279,2,3,1,1,1,6,3,0,0,5.0,3,1,1,1,1,1,3,2,3,No Response Given,2,0,2,0,34.0,Low
2018010190,Primary decision-maker,1,1,2,No,1,2,2,No,No,2,No,No,No,No,11 times or more,"$250,000 to < $500,000",No,No Response Given,No Response Given,No,3,More than half,Yes,Extremely risky,No,No,Sometimes,Sometimes,Frequently,Never,Never,1.0,Never,Never,Never,Never,No,No,Yes,No,Less than 0.5%,10.0,Yes,No,10,8,5% to 9.9%,2,Bought,Neither,6,8,Yes,Protecting investors,Email delivery,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No Response Given,No,No Response Given,9,6,6,1,Lent money to the company,2,2,False,1,Lower fees/expenses,Lower risk,$0,Sell borrowed shares,Yes,Yes,0.609443224,2,3,1,2,2,9,6,10,8,10.0,1,3,1,1,1,3,3,2,3,5.0,2,2,0,2,72.0,High
2018010191,Share decision-making,1,1,98,Don't know,1,98,98,Don't know,Don't know,98,Don't know,Don't know,Don't know,Don't know,None,"$250,000 to < $500,000",Don't know,No Response Given,No Response Given,Don't know,3,Don't know,No,No Response Given,No Response Given,No Response Given,Sometimes,Never,Never,Never,Never,1.0,Never,Never,Never,Never,Don't know,Yes,Don't know,Don't know,Don't know,No Response Given,No,No,3,98,20% or more,2,Neither,Don't know,4 - Neither agree nor disagree,3,Don't know,Both,Paper mail,Yes,Yes,Yes,Don't know,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,2,3,4 - Neither agree nor disagree,1,Lent money to the company,2,1,True,1,Don't know,Don't know,$500,Sell at a loss,Yes,Yes,0.910655279,2,3,1,1,3,2,3,3,0,No Response Given,0,3,0,0,0,3,3,2,3,5.0,2,2,2,2,35.0,Below Average
2018010196,Primary decision-maker,1,1,2,No,2,2,2,No,No,2,No,No,No,No,None,"$50,000 to < $100,000",No,No Response Given,No Response Given,No,2,Less than half,Yes,Very risky,No,No,Never,Sometimes,Sometimes,Never,Never,No Response Given,Never,Never,Never,Never,Don't know,Don't know,Don't know,Don't know,Don't know,No Response Given,No,No,10,10,10% to 14.9%,3,Neither,Don't know,1 - Strongly disagree,6,Don't know,Both,Paper mail,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,10,5,6,1,Lent money to the company,98,1,False,1,Lower fees/expenses,Greater demand,$0,Sell at a loss,No,Yes,1.493157591,2,2,1,1,2,10,5,10,10,No Response Given,1,1,1,1,1,3,3,4,5,No Response Given,2,0,2,2,61.0,Average
2018010201,Primary decision-maker,1,1,1,No,1,2,1,No,No,2,No,No,No,No,None,"$25,000 to < $50,000",Don't know,No Response Given,No Response Given,No,3,Less than half,Yes,Don't know,No,No,Sometimes,Frequently,Sometimes,Never,Never,1.0,Frequently,Sometimes,Never,Never,No,Yes,No,Yes,2% to < 4%,7.0,Yes,No,9,9,5% to 9.9%,2,Neither,Neither,3,7,Yes,Both,In-person meeting,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Response Given,No,No Response Given,8,5,4 - Neither agree nor disagree,1,Lent money to the company,3,1,True,5,Don't know,Can be tax-free,$500,Sell before peak,Yes,Yes,0.609443224,2,3,1,2,2,8,5,9,9,7.0,3,3,1,2,1,3,3,2,3,5.0,2,0,2,0,68.0,Average
2018010204,Share decision-making,1,1,2,No,1,2,2,No,No,2,No,No,No,No,4 to 10 times,"$100,000 to < $250,000",No,No Response Given,No Response Given,No,3,More than half,Yes,Very risky,No,Don't know,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Frequently,Never,No,No,Yes,No,Less than 0.5%,5.0,No,No,7,98,10% to 14.9%,2,Bought,Buy,5,6,Yes,Protecting investors,Paper mail,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No Response Given,No,No Response Given,6,4,5,1,Lent money to the company,98,1,False,1,Lower fees/expenses,Can be tax-free,Don't know,Sell at a loss,Yes,Yes,0.874876747,2,2,2,2,1,6,4,7,0,5.0,1,3,1,1,1,3,3,2,3,No Response Given,2,0,2,2,46.0,Below Average
2018010205,Primary decision-maker,1,1,1,Yes,1,1,1,Yes,Yes,1,Yes,Yes,Yes,Yes,None,"$50,000 to < $100,000",No,No Response Given,No Response Given,No,2,Less than half,No,No Response Given,No Response Given,No Response Given,Never,Sometimes,Sometimes,Sometimes,Sometimes,No Response Given,Sometimes,Sometimes,Sometimes,Sometimes,No,No,No,No,Less than 0.5%,1.0,No,No,1,1,< 0%,3,Sold,Sell,1 - Strongly disagree,1 - Not at all confident,No,Protecting investors,In-person meeting,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Response Given,No Response Given,No Response Given,1,1,1 - Strongly disagree,1,Own a part of the company,1,1,True,1,Less risky short term,Greater demand,$250,Sell before peak,Yes,Yes,1.493157591,1,2,1,1,2,1,1,1,1,1.0,3,3,3,2,3,3,3,4,5,No Response Given,2,0,2,2,40.0,Below Average
2018010210,Primary decision-maker,1,1,1,No,1,2,2,No,No,2,No,No,No,No,1 to 3 times,"$50,000 to < $100,000",Yes,Yes,No,No,2,Less than half,Yes,Moderately risky,No,Yes,Frequently,Never,Frequently,Frequently,Sometimes,1.0,Frequently,Frequently,Never,Frequently,No,No,Yes,Yes,4% or more,8.0,No,No,7,7,5% to 9.9%,2,Bought,Buy,5,9,No,Both,Access on Internet,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,No,No,No,No,Yes,Don't know,No Response Given,No Response Given,No Response Given,9,7,7 - Strongly agree,3,Lent money to the company,3,2,True,2,Lower fees/expenses,Can be tax-free,$0,Sell at a loss,Yes,Yes,2.714459446,2,1,1,1,1,9,7,7,7,8.0,3,3,1,1,1,3,3,4,3,5.0,0,0,0,0,65.0,Average
